order_id,customer_id,product_id,quantity, price ,order_date
4,175,2,2,749.99,1/3/2016
18,541,2,2,749.99,1/14/2016
26,1280,2,1,749.99,1/18/2016
59,563,2,1,749.99,2/5/2016
66,1253,2,1,749.99,2/9/2016
93,1328,2,1,749.99,2/26/2016
97,204,2,1,749.99,2/28/2016
98,1194,2,1,749.99,2/28/2016
114,1431,2,1,749.99,3/8/2016
121,755,2,2,749.99,3/14/2016
132,46,2,2,749.99,3/20/2016
134,679,2,2,749.99,3/20/2016
135,1354,2,1,749.99,3/21/2016
146,288,2,1,749.99,3/28/2016
165,574,2,1,749.99,4/8/2016
175,951,2,2,749.99,4/13/2016
176,643,2,2,749.99,4/15/2016
192,728,2,1,749.99,4/27/2016
197,127,2,2,749.99,4/30/2016
211,1140,2,2,749.99,5/7/2016
218,1179,2,2,749.99,5/12/2016
222,51,2,2,749.99,5/13/2016
226,501,2,1,749.99,5/17/2016
228,615,2,2,749.99,5/17/2016
236,206,2,2,749.99,5/25/2016
255,801,2,2,749.99,6/3/2016
259,413,2,2,749.99,6/6/2016
262,579,2,1,749.99,6/8/2016
263,1322,2,2,749.99,6/9/2016
272,497,2,2,749.99,6/15/2016
285,319,2,1,749.99,6/25/2016
287,133,2,1,749.99,6/25/2016
290,202,2,2,749.99,6/28/2016
302,1375,2,2,749.99,7/6/2016
316,670,2,2,749.99,7/17/2016
320,1428,2,1,749.99,7/19/2016
324,480,2,2,749.99,7/20/2016
335,1193,2,2,749.99,7/25/2016
353,1387,2,2,749.99,8/3/2016
362,187,2,1,749.99,8/9/2016
375,536,2,2,749.99,8/17/2016
376,825,2,2,749.99,8/17/2016
388,1080,2,1,749.99,8/21/2016
389,53,2,1,749.99,8/22/2016
408,1071,2,2,749.99,9/1/2016
411,261,2,1,749.99,9/2/2016
423,1397,2,1,749.99,9/6/2016
429,153,2,1,749.99,9/10/2016
449,492,2,1,749.99,9/21/2016
457,1349,2,1,749.99,9/24/2016
458,197,2,1,749.99,9/25/2016
504,1381,2,2,749.99,10/14/2016
508,1359,2,2,749.99,10/15/2016
524,569,2,1,749.99,10/25/2016
530,773,2,2,749.99,10/28/2016
534,1406,2,1,749.99,10/29/2016
536,759,2,1,749.99,10/31/2016
538,341,2,2,749.99,11/2/2016
552,1282,2,1,749.99,11/12/2016
573,423,2,1,749.99,11/24/2016
590,990,2,2,749.99,12/6/2016
591,1211,2,2,749.99,12/6/2016
653,1249,2,2,749.99,1/14/2017
683,741,2,2,749.99,1/29/2017
777,496,2,1,749.99,3/13/2017
792,479,2,1,749.99,3/22/2017
835,940,2,1,749.99,4/13/2017
879,214,2,2,749.99,5/8/2017
912,519,2,2,749.99,5/27/2017
915,215,2,1,749.99,5/28/2017
1008,1345,2,1,749.99,7/16/2017
1092,40,2,2,749.99,8/25/2017
1124,275,2,2,749.99,9/13/2017
1296,231,2,2,749.99,12/14/2017
1345,1037,2,2,749.99,1/14/2018
1378,983,2,2,749.99,2/2/2018
1499,120,2,1,749.99,4/6/2018
3,523,3,1,999.99,1/2/2016
6,94,3,2,999.99,1/4/2016
7,324,3,1,999.99,1/4/2016
24,636,3,2,999.99,1/18/2016
36,1321,3,2,999.99,1/23/2016
39,1296,3,2,999.99,1/25/2016
50,872,3,1,999.99,1/31/2016
54,535,3,1,999.99,2/4/2016
63,1075,3,1,999.99,2/7/2016
70,50,3,2,999.99,2/11/2016
73,612,3,2,999.99,2/12/2016
75,587,3,1,999.99,2/14/2016
83,393,3,2,999.99,2/19/2016
90,414,3,1,999.99,2/23/2016
103,991,3,1,999.99,3/3/2016
105,306,3,1,999.99,3/3/2016
118,577,3,2,999.99,3/12/2016
128,86,3,2,999.99,3/18/2016
136,1192,3,2,999.99,3/21/2016
139,710,3,1,999.99,3/23/2016
140,1264,3,1,999.99,3/23/2016
146,288,3,2,999.99,3/28/2016
150,332,3,1,999.99,3/29/2016
162,31,3,2,999.99,4/6/2016
178,756,3,1,999.99,4/16/2016
190,98,3,2,999.99,4/23/2016
191,919,3,1,999.99,4/27/2016
196,1247,3,2,999.99,4/28/2016
203,1102,3,2,999.99,5/3/2016
208,815,3,1,999.99,5/6/2016
220,1358,3,2,999.99,5/12/2016
227,489,3,2,999.99,5/17/2016
236,206,3,2,999.99,5/25/2016
242,1168,3,1,999.99,5/27/2016
247,928,3,1,999.99,5/30/2016
254,510,3,1,999.99,6/3/2016
263,1322,3,1,999.99,6/9/2016
264,5,3,2,999.99,6/10/2016
269,764,3,1,999.99,6/12/2016
276,1227,3,2,999.99,6/18/2016
282,159,3,2,999.99,6/22/2016
305,705,3,2,999.99,7/7/2016
309,211,3,1,999.99,7/11/2016
333,779,3,1,999.99,7/25/2016
334,1112,3,2,999.99,7/25/2016
350,31,3,1,999.99,8/3/2016
386,1362,3,2,999.99,8/20/2016
392,176,3,2,999.99,8/23/2016
400,1295,3,2,999.99,8/29/2016
405,603,3,2,999.99,8/31/2016
408,1071,3,1,999.99,9/1/2016
415,1265,3,1,999.99,9/3/2016
420,72,3,2,999.99,9/5/2016
421,240,3,2,999.99,9/5/2016
436,791,3,1,999.99,9/16/2016
437,1085,3,1,999.99,9/16/2016
447,808,3,1,999.99,9/20/2016
458,197,3,2,999.99,9/25/2016
524,569,3,2,999.99,10/25/2016
526,1096,3,2,999.99,10/26/2016
549,64,3,1,999.99,11/12/2016
554,104,3,2,999.99,11/13/2016
570,989,3,2,999.99,11/23/2016
572,178,3,1,999.99,11/24/2016
577,445,3,2,999.99,11/27/2016
593,50,3,2,999.99,12/7/2016
595,538,3,1,999.99,12/8/2016
610,711,3,1,999.99,12/13/2016
650,729,3,1,999.99,1/11/2017
667,858,3,1,999.99,1/22/2017
702,1352,3,2,999.99,2/8/2017
722,1399,3,1,999.99,2/18/2017
734,939,3,1,999.99,2/26/2017
739,49,3,1,999.99,2/28/2017
754,646,3,1,999.99,3/6/2017
807,1148,3,2,999.99,3/30/2017
927,1438,3,1,999.99,6/3/2017
1037,1229,3,1,999.99,7/31/2017
1048,777,3,2,999.99,8/8/2017
1049,194,3,1,999.99,8/9/2017
1056,325,3,1,999.99,8/12/2017
1095,1382,3,2,999.99,8/26/2017
1175,292,3,1,999.99,10/9/2017
1289,1292,3,1,999.99,12/8/2017
1324,862,3,1,999.99,1/1/2018
1344,916,3,1,999.99,1/13/2018
1,259,4,1,2899.99,1/1/2016
12,91,4,2,2899.99,1/6/2016
23,1149,4,2,2899.99,1/16/2016
30,1348,4,1,2899.99,1/20/2016
45,1220,4,2,2899.99,1/28/2016
48,1012,4,1,2899.99,1/30/2016
60,151,4,1,2899.99,2/6/2016
85,1174,4,2,2899.99,2/20/2016
94,929,4,1,2899.99,2/27/2016
118,577,4,1,2899.99,3/12/2016
121,755,4,2,2899.99,3/14/2016
124,403,4,1,2899.99,3/16/2016
127,484,4,2,2899.99,3/17/2016
128,86,4,2,2899.99,3/18/2016
131,316,4,2,2899.99,3/19/2016
157,43,4,1,2899.99,4/3/2016
164,610,4,2,2899.99,4/7/2016
165,574,4,2,2899.99,4/8/2016
184,134,4,1,2899.99,4/19/2016
186,1127,4,1,2899.99,4/21/2016
195,727,4,2,2899.99,4/28/2016
197,127,4,2,2899.99,4/30/2016
199,760,4,1,2899.99,5/1/2016
208,815,4,2,2899.99,5/6/2016
228,615,4,1,2899.99,5/17/2016
236,206,4,2,2899.99,5/25/2016
239,13,4,2,2899.99,5/27/2016
252,66,4,1,2899.99,6/1/2016
258,107,4,1,2899.99,6/6/2016
259,413,4,1,2899.99,6/6/2016
288,780,4,1,2899.99,6/25/2016
292,360,4,1,2899.99,6/29/2016
297,1425,4,2,2899.99,7/4/2016
313,565,4,1,2899.99,7/14/2016
321,568,4,2,2899.99,7/19/2016
327,83,4,1,2899.99,7/21/2016
336,1030,4,1,2899.99,7/26/2016
337,1252,4,1,2899.99,7/26/2016
351,1307,4,2,2899.99,8/3/2016
356,1189,4,1,2899.99,8/4/2016
366,1054,4,1,2899.99,8/13/2016
370,758,4,2,2899.99,8/15/2016
375,536,4,2,2899.99,8/17/2016
384,410,4,1,2899.99,8/20/2016
406,1380,4,1,2899.99,8/31/2016
414,917,4,2,2899.99,9/3/2016
421,240,4,1,2899.99,9/5/2016
429,153,4,2,2899.99,9/10/2016
430,272,4,2,2899.99,9/11/2016
433,1062,4,1,2899.99,9/12/2016
438,314,4,1,2899.99,9/16/2016
440,882,4,2,2899.99,9/17/2016
447,808,4,2,2899.99,9/20/2016
453,1028,4,1,2899.99,9/22/2016
460,691,4,1,2899.99,9/25/2016
461,853,4,1,2899.99,9/26/2016
469,1089,4,1,2899.99,9/29/2016
476,559,4,2,2899.99,10/1/2016
480,686,4,1,2899.99,10/4/2016
509,235,4,2,2899.99,10/16/2016
522,724,4,2,2899.99,10/23/2016
527,506,4,1,2899.99,10/27/2016
530,773,4,1,2899.99,10/28/2016
533,1334,4,1,2899.99,10/29/2016
550,892,4,1,2899.99,11/12/2016
